"Archivio estrazioni Gioco del Lotto Anno 2025 (dal 1871)"
"1 Luglio 2025, Martedì"
"lottologia.com"
""
""
"Data    Bari             Cagliari         Firenze          Genova           Milano           Napoli           Palermo          Roma             Torino           Venezia          Nazionale"
"09/05   23 87 53 62 33   16 38 41 62 87   19 52 85 23 13   01 61 85 60 48   87 80 07 41 50   53 32 83 31 78   12 58 56 50 82   06 48 17 12 75   89 26 30 01 20   32 21 20 82 49   68 44 32 49 83"
"08/05   87 43 09 33 05   40 13 86 28 56   71 66 87 08 30   72 38 29 22 40   71 12 15 39 75   09 71 20 53 10   88 58 80 85 15   32 01 25 16 82   78 89 72 60 55   68 27 44 54 67   09 35 40 16 36"
"06/05   06 44 88 74 39   72 46 55 69 07   84 82 56 39 05   77 53 57 42 49   40 71 11 02 64   12 78 75 59 38   16 47 26 56 05   20 19 55 01 72   54 83 78 71 41   71 41 55 35 63   46 52 67 78 59"
"05/05   62 19 47 49 66   59 73 56 14 29   21 36 80 15 87   66 36 20 63 83   88 60 04 34 05   70 36 85 44 04   41 75 63 59 20   19 53 63 18 09   38 47 06 69 82   78 87 31 06 13   60 42 79 67 64"
"03/05   31 33 53 57 73   40 20 72 19 16   71 44 61 70 46   50 36 59 25 46   70 85 38 83 01   28 55 58 48 24   14 62 40 12 53   65 36 39 57 25   27 43 66 22 34   09 45 58 90 66   68 89 14 39 25"
"02/05   71 09 03 80 50   32 75 30 70 40   72 16 32 70 90   33 34 60 75 59   23 82 28 03 41   87 26 22 77 39   53 11 16 22 48   20 31 84 79 40   79 78 27 04 51   20 36 76 17 88   15 22 51 27 18"
"29/04   03 07 32 05 33   66 62 27 39 26   07 41 70 75 53   10 26 64 44 74   30 76 66 51 65   56 80 34 11 29   74 37 48 13 38   02 21 18 51 68   64 06 32 88 54   66 01 11 74 54   65 63 50 55 33"
"28/04   62 48 68 64 35   50 54 70 90 64   56 43 77 70 22   56 80 78 87 10   80 77 60 22 79   40 16 28 64 18   05 41 90 06 68   54 22 82 89 80   72 21 25 16 70   35 68 75 03 30   76 44 20 70 67"
"26/04   23 30 43 69 25   63 73 02 18 12   38 11 13 32 15   09 27 84 16 11   73 30 70 60 02   60 81 05 79 89   26 28 69 07 31   82 38 76 44 31   05 62 73 46 84   42 14 45 35 52   48 80 78 16 23"
"24/04   80 69 75 58 16   88 05 51 65 75   74 65 19 47 42   87 89 22 32 26   27 13 15 56 23   24 87 62 41 28   76 20 33 62 35   80 23 84 15 85   78 34 18 41 62   05 84 83 31 46   72 69 25 54 64"
"22/04   39 13 47 80 31   36 31 58 61 21   12 05 37 89 13   18 27 51 59 64   77 70 24 35 85   65 12 09 35 24   01 71 40 83 31   86 67 28 73 75   17 89 52 21 62   51 65 03 40 74   74 50 49 72 12"
"19/04   07 69 74 13 55   17 61 18 27 51   68 11 25 55 24   61 67 06 21 46   07 54 03 44 87   38 73 33 02 09   36 82 85 86 54   80 36 24 57 82   77 51 75 72 76   54 75 68 17 04   47 88 74 54 40"
"18/04   83 71 33 85 84   47 19 44 36 31   88 61 90 14 67   55 59 54 65 23   33 85 25 38 54   38 45 18 27 90   45 35 78 22 69   16 02 13 44 25   90 06 86 24 65   83 35 85 24 63   01 27 28 13 25"
"17/04   82 36 16 03 81   46 13 40 47 09   23 87 68 48 86   12 68 63 41 17   66 58 51 21 61   84 32 71 61 22   69 18 82 75 12   64 78 54 89 05   68 49 86 23 25   29 18 44 25 47   02 74 67 88 84"
"15/04   55 04 89 85 20   28 29 83 74 11   33 61 17 13 59   03 89 46 30 34   30 22 08 80 21   28 48 38 62 76   18 12 01 66 16   29 79 26 16 44   12 77 49 50 66   64 45 57 85 01   60 39 72 49 26"
"12/04   47 07 11 43 61   34 14 81 89 79   81 16 28 03 21   85 04 45 60 29   69 30 06 13 55   12 03 48 31 24   48 06 68 66 28   69 25 09 48 86   29 85 52 54 62   90 61 34 79 37   18 14 88 10 27"
"11/04   22 74 58 46 38   41 49 31 65 79   53 48 09 28 62   86 67 47 19 70   57 61 24 51 71   28 79 49 55 41   72 75 52 57 66   12 80 04 15 51   68 14 04 19 66   18 67 17 56 40   15 18 86 55 27"
"10/04   55 40 19 11 08   40 84 20 07 36   60 12 08 10 74   87 68 51 61 89   20 49 60 82 04   62 89 01 21 29   63 69 81 78 70   18 69 26 40 65   74 83 78 16 81   64 81 72 43 02   04 45 30 55 34"
"08/04   23 43 18 70 32   68 86 69 48 67   35 38 72 33 51   88 74 80 84 61   58 44 77 29 21   50 45 37 16 27   89 26 15 28 75   42 46 82 48 31   08 75 01 42 36   57 40 61 17 02   38 05 58 17 15"
"05/04   10 58 03 61 14   04 67 36 85 87   70 45 80 62 06   05 66 32 59 89   20 56 02 87 47   60 63 75 72 06   14 80 30 76 70   73 42 36 79 08   26 74 83 78 31   06 60 85 76 40   44 11 71 06 37"
""
""
""
""
"page 1 / 3"
"               Archivio estrazioni Gioco del Lotto Anno 2025 (dal 1871)"
"1 Luglio 2025, Martedì"
"lottologia.com"
""
""
"04/04   37 55 29 11 70   10 16 04 01 81   15 62 30 85 72   16 07 34 25 18   01 77 67 72 76   47 14 55 87 45   49 90 79 66 41   28 14 10 65 88   22 60 50 04 08   23 60 74 52 43   74 44 90 06 56"
"03/04   71 57 74 66 81   08 71 63 28 13   02 77 51 48 40   20 73 85 80 83   13 69 82 14 43   89 22 84 57 80   88 17 29 43 68   20 10 67 41 39   59 43 71 34 78   57 35 28 39 29   52 72 73 26 77"
"01/04   60 48 59 35 50   42 63 88 44 90   33 65 76 01 25   29 82 70 19 43   04 73 67 22 85   65 27 10 06 66   37 13 35 79 85   51 14 63 71 89   44 04 70 82 51   61 88 27 82 66   15 82 14 18 32"
"29/03   07 78 26 37 31   77 63 56 52 09   51 38 34 43 63   55 81 24 75 57   87 51 86 10 21   69 15 14 61 66   06 81 31 72 13   25 37 90 30 40   90 08 13 76 54   36 64 13 15 66   09 85 39 13 88"
"28/03   72 14 10 54 15   89 47 13 21 14   44 81 42 41 20   46 26 37 43 49   66 13 29 81 70   80 01 38 60 54   90 41 12 20 02   61 07 60 43 86   72 20 04 44 14   52 18 28 63 58   62 83 48 01 88"
"27/03   22 74 77 75 90   19 60 54 09 63   30 68 88 74 72   63 10 20 22 32   76 78 32 72 84   59 61 50 87 09   62 56 09 79 38   06 31 60 71 21   64 54 45 68 30   78 19 07 44 08   32 85 43 27 04"
"25/03   30 13 36 89 71   75 69 53 81 01   14 19 89 40 54   50 67 23 04 89   49 38 72 07 28   82 31 77 43 25   07 49 48 18 76   05 42 53 22 09   73 58 10 90 16   03 59 24 11 74   30 39 05 01 38"
"22/03   55 37 89 48 51   08 34 32 23 26   03 64 74 33 90   03 59 77 64 70   52 45 41 27 29   41 09 17 49 70   68 82 65 41 44   67 08 87 70 79   80 12 32 59 44   22 75 06 83 15   12 84 44 38 34"
"21/03   53 28 34 46 70   10 66 13 43 15   28 10 89 23 02   67 59 19 83 17   46 53 84 10 57   50 59 38 19 57   56 60 61 18 24   11 69 62 16 54   89 50 22 63 49   75 87 39 38 27   09 31 75 67 32"
"20/03   49 67 56 76 80   71 03 29 56 15   01 33 78 69 82   27 19 25 03 69   68 55 41 85 20   66 46 35 29 82   83 14 53 78 59   76 09 70 05 16   24 10 51 57 31   79 49 15 26 38   80 04 13 43 18"
"18/03   74 53 55 52 59   45 38 21 72 77   39 25 31 87 14   19 85 82 58 45   62 65 80 78 77   24 29 42 90 27   25 55 02 63 13   02 59 76 58 09   72 57 69 54 86   12 52 84 46 37   85 11 66 29 31"
"15/03   54 73 63 32 79   70 22 84 52 06   07 63 05 22 64   38 42 50 30 73   34 23 73 61 68   49 13 89 84 28   26 86 70 06 22   54 71 60 29 79   10 42 33 18 22   14 12 51 15 71   05 14 21 15 80"
"14/03   14 57 86 22 75   37 01 46 44 75   51 50 40 89 71   49 43 73 01 25   25 36 22 90 05   70 41 53 65 34   60 77 25 12 17   28 02 81 01 46   80 46 12 65 53   43 30 29 87 11   08 82 64 29 59"
"13/03   22 40 83 72 86   02 29 20 90 16   84 37 86 12 71   70 76 20 65 25   10 90 86 63 70   12 23 89 49 54   40 11 35 61 66   17 36 61 08 65   54 49 64 61 25   77 63 06 29 18   48 56 90 14 23"
"11/03   88 82 13 06 24   61 79 29 01 05   68 22 69 13 40   16 20 82 43 38   30 70 75 86 82   08 11 13 25 38   63 42 14 79 56   39 26 14 82 47   31 76 21 10 40   70 65 62 44 61   16 57 90 52 19"
"08/03   60 39 23 28 17   02 69 40 50 65   29 64 30 71 31   72 02 77 73 15   61 29 21 08 36   60 36 53 05 66   74 58 68 15 20   87 10 08 52 84   46 08 62 59 77   24 78 65 70 21   28 82 76 30 14"
"07/03   80 08 18 88 55   89 29 34 88 16   09 53 42 84 45   16 73 25 02 27   64 39 70 67 66   36 11 54 44 06   90 78 56 70 66   33 80 37 53 81   62 19 03 11 15   88 28 57 22 55   45 81 88 30 28"
"06/03   31 41 69 20 34   28 79 66 24 70   66 89 84 74 31   32 09 63 61 17   39 68 71 79 83   44 64 06 57 13   30 80 01 87 74   59 47 06 05 28   51 23 22 31 52   83 71 28 34 26   34 83 53 81 14"
"04/03   30 81 09 31 72   62 03 14 90 09   36 08 74 16 78   79 28 75 36 46   13 11 27 88 80   09 23 57 31 30   79 07 20 09 52   67 62 37 71 34   10 54 07 50 05   06 87 53 89 32   57 54 79 44 40"
"01/03   80 06 90 64 72   45 40 76 57 19   02 27 25 66 07   78 66 76 81 67   27 02 61 54 89   44 87 90 43 60   48 11 18 54 77   32 43 82 19 50   67 68 21 35 88   26 47 87 10 46   21 48 03 17 62"
"28/02   81 85 33 47 75   73 40 18 60 72   07 15 67 80 06   04 45 66 85 14   58 22 64 86 61   56 17 50 21 46   30 59 72 83 40   58 21 75 70 55   42 47 84 72 67   64 57 33 84 19   14 78 18 40 08"
"27/02   79 62 45 19 31   03 56 76 58 79   89 21 35 46 65   78 05 47 18 20   31 46 04 40 33   53 78 04 36 90   38 30 84 41 22   01 20 53 50 44   15 61 82 49 03   49 28 16 86 43   50 45 46 68 13"
"25/02   44 46 59 73 72   62 34 79 42 67   29 81 11 82 30   61 01 09 14 74   90 04 47 24 26   64 11 49 54 66   24 54 57 90 15   84 21 49 24 02   87 54 35 23 30   07 45 42 80 56   89 44 90 05 45"
"22/02   13 49 17 39 48   56 44 07 27 16   42 38 70 71 80   08 11 55 61 47   57 47 09 66 51   57 72 39 24 25   08 77 16 26 34   28 83 11 06 26   71 52 60 28 61   33 38 12 66 82   84 12 87 51 70"
"21/02   66 48 65 47 75   20 66 90 31 86   54 01 37 47 04   81 70 67 24 80   53 49 75 43 45   45 59 25 43 79   28 14 02 11 89   45 44 82 07 84   88 72 43 61 02   46 70 45 39 72   33 03 26 76 66"
"20/02   40 17 10 33 32   07 10 01 52 17   60 80 86 48 19   05 60 61 52 41   59 30 58 78 34   62 54 33 29 31   46 37 19 05 67   59 51 05 47 74   74 32 52 21 18   26 75 54 15 19   51 43 48 40 59"
"18/02   72 83 64 59 43   60 55 49 07 14   11 68 62 04 21   86 23 44 85 71   11 82 42 09 14   89 86 65 49 14   79 34 80 78 20   26 21 13 64 57   64 11 17 02 58   64 82 30 04 19   26 37 68 54 87"
"15/02   72 78 23 39 06   18 02 32 45 07   77 37 02 57 36   28 24 46 21 90   01 85 25 39 86   26 08 90 31 34   49 81 73 87 38   47 74 01 11 40   32 41 15 07 46   33 10 59 79 30   03 73 16 65 04"
"14/02   29 40 34 55 66   48 28 43 61 33   21 87 82 53 31   46 13 45 75 32   60 80 29 23 53   27 11 61 68 02   21 06 18 26 10   21 49 74 24 28   83 30 80 60 36   07 74 13 80 81   10 14 48 01 74"
"13/02   28 68 14 46 29   78 88 38 30 01   21 57 56 04 44   56 51 59 69 19   86 14 05 70 38   55 17 47 80 90   89 39 23 51 13   32 36 78 76 79   43 07 23 57 37   78 16 68 02 84   81 46 78 21 27"
"11/02   45 41 04 55 42   51 90 39 50 60   04 57 11 79 12   83 57 63 64 06   75 24 26 82 08   37 01 17 25 32   80 53 47 03 63   57 68 73 86 33   28 43 24 13 31   78 83 90 51 01   04 87 35 31 29"
"08/02   72 75 31 88 21   90 71 54 55 13   24 45 62 77 76   69 75 81 35 83   54 83 02 67 35   78 79 83 50 70   29 65 74 54 13   87 05 13 06 69   78 32 43 68 85   21 44 54 43 76   47 23 70 44 38"
"07/02   34 74 37 64 59   75 88 34 19 43   01 31 73 34 37   44 53 48 74 01   03 76 21 83 31   38 09 16 28 56   09 90 14 62 83   66 62 17 27 78   79 13 67 30 55   76 09 20 18 60   22 21 66 04 47"
"06/02   40 20 82 65 35   39 88 02 62 77   59 29 75 36 73   40 52 65 27 44   13 21 40 87 80   85 19 83 68 44   74 40 67 88 13   70 23 50 82 47   44 47 70 42 02   28 86 43 58 64   81 37 26 01 07"
"04/02   49 67 39 89 68   30 23 16 05 90   20 33 60 73 87   59 10 18 48 51   18 86 71 70 32   54 43 50 65 76   63 06 75 80 25   08 09 14 46 06   55 20 17 23 80   19 81 40 77 28   50 89 12 80 52"
"01/02   83 17 12 67 85   50 41 18 04 46   73 63 57 74 86   81 22 42 37 53   07 60 76 11 56   87 25 66 05 33   39 58 06 89 40   63 23 04 14 61   56 59 26 81 10   39 68 37 50 07   19 89 28 18 33"
"31/01   49 28 64 42 46   53 76 89 26 13   38 51 15 50 56   87 09 35 30 04   53 25 23 09 37   01 65 38 06 15   05 07 10 26 58   32 31 09 46 80   68 20 44 51 11   90 24 62 54 61   20 79 07 45 60"
"30/01   09 62 01 28 73   50 33 43 10 29   04 63 56 34 90   51 20 26 46 59   37 78 76 20 86   43 04 45 84 53   13 43 50 67 40   29 12 84 71 79   90 16 25 76 24   26 58 23 20 40   74 07 54 15 36"
"28/01   32 56 11 49 52   90 42 39 30 13   21 60 31 05 14   42 80 86 57 36   31 88 28 12 66   27 22 44 30 77   54 56 36 06 43   31 70 27 11 22   85 08 70 49 07   16 13 81 18 03   35 01 67 44 14"
"25/01   13 87 02 10 73   55 40 76 82 50   23 51 44 84 72   49 56 19 48 64   40 27 80 13 47   67 37 02 75 81   25 28 11 31 40   20 25 59 10 22   82 02 19 89 84   06 59 65 53 61   45 72 80 76 32"
"24/01   67 35 46 60 43   09 24 58 03 62   52 68 17 40 80   58 85 12 49 52   87 04 59 54 52   32 90 61 22 23   65 14 17 75 60   61 68 64 09 19   57 19 08 01 78   90 16 66 18 50   57 56 33 25 38"
"23/01   86 50 83 38 78   11 36 52 31 74   56 59 86 27 84   03 61 53 11 38   13 14 79 87 47   21 90 48 55 37   56 46 59 02 53   74 13 07 38 77   27 54 62 36 81   09 14 69 28 62   32 73 27 11 51"
"21/01   78 09 70 03 23   32 88 30 13 45   87 23 15 39 86   71 48 67 59 23   58 50 80 85 29   90 81 79 82 62   70 33 90 05 10   15 71 55 85 76   89 09 18 33 69   44 80 82 73 58   80 25 13 63 17"
"18/01   24 76 02 72 12   21 08 77 04 17   74 84 07 12 72   13 07 33 47 18   01 34 09 55 48   46 23 25 03 06   44 07 01 46 84   88 78 64 74 04   07 87 67 38 53   31 25 04 18 02   49 82 59 65 67"
"17/01   10 87 77 23 60   75 33 60 24 15   45 34 66 41 17   05 65 15 53 86   20 84 74 76 01   90 29 38 52 68   33 36 02 20 68   68 12 59 07 74   03 22 29 90 28   81 24 35 18 03   06 31 35 89 74"
"16/01   47 33 54 51 58   58 88 03 30 65   76 56 16 73 29   78 58 71 18 26   09 74 15 26 57   75 81 35 59 17   17 39 46 54 08   28 75 76 02 23   24 36 80 87 89   86 70 37 23 45   09 65 30 06 07"
"14/01   41 25 12 73 55   54 20 48 32 67   75 23 68 10 38   33 27 81 70 64   68 01 64 86 87   47 75 45 10 21   55 86 33 53 70   88 78 61 06 07   76 08 23 61 82   25 15 49 21 81   70 10 32 78 07"
"11/01   73 43 01 58 81   69 60 18 02 10   25 32 18 55 54   48 05 40 34 69   10 07 70 44 79   11 89 01 34 80   37 80 82 44 77   78 04 38 39 56   08 13 30 27 24   56 75 36 18 70   63 83 19 31 80"
"10/01   40 61 11 86 37   31 02 51 68 87   73 55 34 52 18   11 40 27 82 20   80 71 65 19 10   50 30 03 01 36   66 42 43 76 89   05 22 62 35 39   17 58 62 86 69   43 89 14 04 40   64 76 35 40 19"
"09/01   47 06 65 72 48   75 33 52 59 73   08 05 35 74 81   33 59 68 27 07   68 12 60 51 65   49 17 10 71 87   31 64 45 04 47   18 84 43 28 31   14 23 33 16 84   39 41 08 02 86   63 41 58 16 01"
"07/01   29 37 09 53 08   33 56 08 61 20   55 33 09 60 28   56 09 78 59 04   73 51 34 06 70   49 30 64 80 05   89 08 74 48 30   46 20 13 87 05   05 85 90 28 16   51 42 17 05 09   88 90 72 25 41"
""
""
""
""
"page 2 / 3"
"                                                  Archivio estrazioni Gioco del Lotto Anno 2025 (dal 1871)"
"1 Luglio 2025, Martedì"
"lottologia.com"
""
""
"04/01   48 55 67 87 14   60 78 37 36 07   04 55 45 27 42   46 77 47 17 33   17 86 14 63 55   25 71 16 48 28   65 55 31 05 25   80 05 74 75 28   28 66 20 24 87   25 29 20 70 24   62 71 03 28 15"
"03/01   60 54 44 28 33   55 68 05 53 39   77 49 68 29 45   25 66 36 41 18   83 47 32 71 09   75 60 78 69 11   55 54 67 29 25   74 77 14 16 83   25 01 79 40 54   21 75 05 37 74   58 64 82 22 72"
"02/01   39 42 24 13 87   05 77 35 46 83   85 80 78 40 64   16 22 90 13 78   81 82 14 60 12   29 74 89 87 27   24 16 56 74 44   06 47 76 01 87   36 59 78 28 31   17 64 02 09 05   49 82 14 87 01"
""
""
""
""
"page 3 / 3"
""
"Powered by TCPDF (www.tcpdf.org)"
""
